id_e;id_s;id_p;data egzaminu;Ocena
1;1;4;12.1.2023 00:00:00;3
2;5;4;12.1.2023 00:00:00;4
3;14;4;12.1.2023 00:00:00;2
4;60;4;12.1.2023 00:00:00;1
5;60;6;20.1.2023 00:00:00;5
6;25;6;20.1.2023 00:00:00;3
7;2;1;20.1.2023 00:00:00;5
8;4;1;20.1.2023 00:00:00;5
9;15;1;20.1.2023 00:00:00;4
10;70;13;13.1.2023 00:00:00;1
11;46;12;17.1.2023 00:00:00;3
12;6;19;17.1.2023 00:00:00;5
13;6;20;19.1.2023 00:00:00;5
14;8;23;19.1.2023 00:00:00;3
15;10;23;19.1.2023 00:00:00;4
16;30;3;20.1.2023 00:00:00;5
17;7;7;20.1.2023 00:00:00;3
18;11;10;21.1.2023 00:00:00;1
19;13;10;21.1.2023 00:00:00;4
20;23;10;21.1.2023 00:00:00;5
21;82;12;13.1.2023 00:00:00;5
22;84;11;14.1.2023 00:00:00;5
23;86;11;14.1.2023 00:00:00;5
24;71;5;17.1.2023 00:00:00;2
25;73;5;17.1.2023 00:00:00;4
26;75;5;17.1.2023 00:00:00;4
27;32;18;12.1.2023 00:00:00;2
28;34;18;12.1.2023 00:00:00;3
29;36;18;12.1.2023 00:00:00;4
30;38;18;12.1.2023 00:00:00;4
31;51;18;12.1.2023 00:00:00;5
32;53;18;12.1.2023 00:00:00;5
33;55;18;12.1.2023 00:00:00;1
34;21;9;17.1.2023 00:00:00;2
35;22;9;17.1.2023 00:00:00;2
36;28;9;17.1.2023 00:00:00;3
37;29;9;17.1.2023 00:00:00;4
38;30;9;17.1.2023 00:00:00;5
39;12;3;23.1.2023 00:00:00;4
40;13;3;23.1.2023 00:00:00;5
41;17;3;23.1.2023 00:00:00;5
42;41;14;24.1.2023 00:00:00;5
43;42;14;24.1.2023 00:00:00;4
44;43;14;24.1.2023 00:00:00;4
45;44;14;24.1.2023 00:00:00;4
46;45;3;24.1.2023 00:00:00;5
47;19;15;13.1.2023 00:00:00;3
48;18;15;13.1.2023 00:00:00;3
49;20;15;13.1.2023 00:00:00;3
50;62;16;14.1.2023 00:00:00;5
51;63;16;14.1.2023 00:00:00;5
52;77;16;14.1.2023 00:00:00;4
53;78;16;14.1.2023 00:00:00;3
54;79;16;14.1.2023 00:00:00;2
55;80;16;14.1.2023 00:00:00;2
56;47;17;11.1.2023 00:00:00;2
57;56;17;11.1.2023 00:00:00;3
58;57;17;11.1.2023 00:00:00;5
59;87;17;11.1.2023 00:00:00;5
60;88;17;11.1.2023 00:00:00;4
61;89;17;11.1.2023 00:00:00;4
62;90;17;11.1.2023 00:00:00;2
63;61;22;27.1.2023 00:00:00;2
64;72;22;27.1.2023 00:00:00;3
65;37;22;27.1.2023 00:00:00;5
66;39;22;27.1.2023 00:00:00;5
67;40;22;27.1.2023 00:00:00;5
68;49;21;14.1.2023 00:00:00;4
69;50;21;14.1.2023 00:00:00;4
70;58;21;14.1.2023 00:00:00;4
71;59;21;14.1.2023 00:00:00;3
72;3;1;20.1.2023 00:00:00;5
73;65;8;28.1.2023 00:00:00;5
74;66;8;28.1.2023 00:00:00;5
75;67;8;28.1.2023 00:00:00;5
76;68;8;28.1.2023 00:00:00;4
77;69;8;28.1.2023 00:00:00;4
78;74;20;19.1.2023 00:00:00;3
79;76;20;19.1.2023 00:00:00;3
80;81;20;19.1.2023 00:00:00;2
81;83;20;19.1.2023 00:00:00;4
82;85;20;19.1.2023 00:00:00;5
83;7;7;20.1.2023 00:00:00;5
84;7;8;28.1.2023 00:00:00;5
85;7;9;17.1.2023 00:00:00;5
