"id_pok";"numer_pokoju";"rodzaj_pokoju";"cena_pokoju";"dostepnosc";"ilosc_osob"
1;101;"pojedynczy";100;"dostêpny";1
2;102;"pojedynczy";100;"dostêpny";1
3;103;"podwójny";150;"zajêty";2
4;104;"podwójny";150;"dostêpny";2
5;105;"pojedynczy";100;"dostêpny";1
6;106;"apartament";250;"dostêpny";4
7;107;"podwójny";150;"zajêty";2
8;108;"pojedynczy";100;"dostêpny";1
9;109;"podwójny";150;"dostêpny";2
10;110;"apartament";250;"dostêpny";4
11;111;"podwójny";150;"dostêpny";2
12;112;"pojedynczy";100;"zajêty";1
13;113;"podwójny";150;"dostêpny";2
14;114;"podwójny";150;"dostêpny";2
15;115;"pojedynczy";100;"dostêpny";1
16;116;"apartament";250;"dostêpny";4
17;117;"podwójny";150;"dostêpny";2
18;118;"pojedynczy";100;"dostêpny";1
19;119;"podwójny";150;"zajêty";2
20;120;"apartament";250;"dostêpny";4
21;121;"pojedynczy";100;"dostêpny";1
22;122;"podwójny";150;"dostêpny";2
23;123;"podwójny";150;"dostêpny";2
24;124;"pojedynczy";100;"dostêpny";1
25;125;"apartament";250;"zajêty";4
26;126;"podwójny";150;"dostêpny";2
27;127;"pojedynczy";100;"dostêpny";1
28;128;"podwójny";150;"dostêpny";2
29;129;"apartament";250;"dostêpny";4
30;130;"pojedynczy";100;"zajêty";1
31;131;"podwójny";150;"dostêpny";2
32;132;"podwójny";150;"dostêpny";2
33;133;"pojedynczy";100;"dostêpny";1
34;134;"apartament";250;"dostêpny";4
35;135;"podwójny";150;"dostêpny";2
36;136;"pojedynczy";100;"dostêpny";1
37;137;"podwójny";150;"zajêty";2
38;138;"podwójny";150;"dostêpny";2
39;139;"apartament";250;"dostêpny";4
40;140;"podwójny";150;"dostêpny";2
