"id_rez";"id_gosc";"id_pok";"data_przyjazdu";"data_wyjazdu";"status_rezerwacji"
1;101;5;10.3.2024 00:00:00;15.3.2024 00:00:00;"Potwierdzona"
2;41;12;11.3.2024 00:00:00;14.3.2024 00:00:00;"Oczekuj¹ca"
3;70;18;12.3.2024 00:00:00;17.3.2024 00:00:00;"Potwierdzona"
4;112;25;13.3.2024 00:00:00;16.3.2024 00:00:00;"Anulowana"
5;111;32;14.3.2024 00:00:00;19.3.2024 00:00:00;"Potwierdzona"
6;144;7;15.3.2024 00:00:00;18.3.2024 00:00:00;"Oczekuj¹ca"
7;33;14;16.3.2024 00:00:00;21.3.2024 00:00:00;"Potwierdzona"
8;63;21;17.3.2024 00:00:00;20.3.2024 00:00:00;"Oczekuj¹ca"
9;93;28;18.3.2024 00:00:00;23.3.2024 00:00:00;"Potwierdzona"
10;106;35;19.3.2024 00:00:00;22.3.2024 00:00:00;"Anulowana"
11;16;9;20.3.2024 00:00:00;25.3.2024 00:00:00;"Potwierdzona"
12;46;16;21.3.2024 00:00:00;24.3.2024 00:00:00;"Oczekuj¹ca"
13;76;23;22.3.2024 00:00:00;27.3.2024 00:00:00;"Potwierdzona"
14;117;30;23.3.2024 00:00:00;26.3.2024 00:00:00;"Anulowana"
15;1;37;24.3.2024 00:00:00;29.3.2024 00:00:00;"Potwierdzona"
16;102;4;25.3.2024 00:00:00;28.3.2024 00:00:00;"Oczekuj¹ca"
17;147;11;26.3.2024 00:00:00;31.3.2024 00:00:00;"Potwierdzona"
18;22;18;27.3.2024 00:00:00;30.3.2024 00:00:00;"Oczekuj¹ca"
19;52;25;28.3.2024 00:00:00;2.4.2024 00:00:00;"Potwierdzona"
20;82;32;29.3.2024 00:00:00;1.4.2024 00:00:00;"Anulowana"
21;121;39;30.3.2024 00:00:00;4.4.2024 00:00:00;"Potwierdzona"
22;6;6;31.3.2024 00:00:00;3.4.2024 00:00:00;"Oczekuj¹ca"
23;114;13;1.4.2024 00:00:00;6.4.2024 00:00:00;"Potwierdzona"
24;149;20;2.4.2024 00:00:00;5.4.2024 00:00:00;"Oczekuj¹ca"
25;28;27;3.4.2024 00:00:00;8.4.2024 00:00:00;"Potwierdzona"
26;58;34;4.4.2024 00:00:00;7.4.2024 00:00:00;"Anulowana"
27;87;40;5.4.2024 00:00:00;10.4.2024 00:00:00;"Potwierdzona"
28;104;8;6.4.2024 00:00:00;9.4.2024 00:00:00;"Oczekuj¹ca"
29;11;15;7.4.2024 00:00:00;12.4.2024 00:00:00;"Potwierdzona"
30;41;22;8.4.2024 00:00:00;11.4.2024 00:00:00;"Anulowana"
31;71;29;9.4.2024 00:00:00;14.4.2024 00:00:00;"Potwierdzona"
32;124;36;10.4.2024 00:00:00;13.4.2024 00:00:00;"Oczekuj¹ca"
33;34;3;11.4.2024 00:00:00;16.4.2024 00:00:00;"Potwierdzona"
34;64;10;12.4.2024 00:00:00;15.4.2024 00:00:00;"Anulowana"
35;94;17;13.4.2024 00:00:00;18.4.2024 00:00:00;"Potwierdzona"
36;107;24;14.4.2024 00:00:00;17.4.2024 00:00:00;"Oczekuj¹ca"
37;143;31;15.4.2024 00:00:00;20.4.2024 00:00:00;"Potwierdzona"
38;17;38;16.4.2024 00:00:00;19.4.2024 00:00:00;"Anulowana"
39;47;40;17.4.2024 00:00:00;20.4.2024 00:00:00;"Potwierdzona"
40;77;2;18.4.2024 00:00:00;23.4.2024 00:00:00;"Oczekuj¹ca"
41;128;9;19.4.2024 00:00:00;22.4.2024 00:00:00;"Potwierdzona"
42;2;16;20.4.2024 00:00:00;25.4.2024 00:00:00;"Anulowana"
43;103;23;21.4.2024 00:00:00;24.4.2024 00:00:00;"Potwierdzona"
44;23;30;22.4.2024 00:00:00;27.4.2024 00:00:00;"Oczekuj¹ca"
45;53;37;23.4.2024 00:00:00;26.4.2024 00:00:00;"Potwierdzona"
46;83;4;24.4.2024 00:00:00;29.4.2024 00:00:00;"Anulowana"
47;132;11;25.4.2024 00:00:00;28.4.2024 00:00:00;"Potwierdzona"
48;7;18;26.4.2024 00:00:00;1.5.2024 00:00:00;"Oczekuj¹ca"
49;115;25;27.4.2024 00:00:00;30.4.2024 00:00:00;"Potwierdzona"
50;150;32;28.4.2024 00:00:00;3.5.2024 00:00:00;"Anulowana"
51;29;39;29.4.2024 00:00:00;2.5.2024 00:00:00;"Potwierdzona"
52;59;6;30.4.2024 00:00:00;5.5.2024 00:00:00;"Oczekuj¹ca"
53;89;13;1.5.2024 00:00:00;4.5.2024 00:00:00;"Potwierdzona"
54;119;20;2.5.2024 00:00:00;7.5.2024 00:00:00;"Anulowana"
55;12;27;3.5.2024 00:00:00;6.5.2024 00:00:00;"Potwierdzona"
56;42;34;4.5.2024 00:00:00;9.5.2024 00:00:00;"Oczekuj¹ca"
57;72;40;5.5.2024 00:00:00;8.5.2024 00:00:00;"Potwierdzona"
58;126;8;6.5.2024 00:00:00;11.5.2024 00:00:00;"Anulowana"
59;35;15;7.5.2024 00:00:00;10.5.2024 00:00:00;"Potwierdzona"
60;65;22;8.5.2024 00:00:00;13.5.2024 00:00:00;"Oczekuj¹ca"
61;95;29;9.5.2024 00:00:00;12.5.2024 00:00:00;"Potwierdzona"
62;109;36;10.5.2024 00:00:00;15.5.2024 00:00:00;"Anulowana"
63;146;3;11.5.2024 00:00:00;14.5.2024 00:00:00;"Potwierdzona"
64;3;10;12.5.2024 00:00:00;17.5.2024 00:00:00;"Oczekuj¹ca"
65;18;17;13.5.2024 00:00:00;16.5.2024 00:00:00;"Potwierdzona"
66;48;24;14.5.2024 00:00:00;19.5.2024 00:00:00;"Anulowana"
67;78;31;15.5.2024 00:00:00;18.5.2024 00:00:00;"Potwierdzona"
68;113;38;16.5.2024 00:00:00;21.5.2024 00:00:00;"Oczekuj¹ca"
69;148;40;17.5.2024 00:00:00;20.5.2024 00:00:00;"Potwierdzona"
70;123;2;18.5.2024 00:00:00;23.5.2024 00:00:00;"Anulowana"
71;24;9;19.5.2024 00:00:00;22.5.2024 00:00:00;"Potwierdzona"
72;54;16;20.5.2024 00:00:00;25.5.2024 00:00:00;"Oczekuj¹ca"
73;84;23;21.5.2024 00:00:00;24.5.2024 00:00:00;"Potwierdzona"
74;105;30;22.5.2024 00:00:00;27.5.2024 00:00:00;"Anulowana"
75;8;37;23.5.2024 00:00:00;26.5.2024 00:00:00;"Potwierdzona"
76;130;4;24.5.2024 00:00:00;29.5.2024 00:00:00;"Oczekuj¹ca"
77;30;11;25.5.2024 00:00:00;28.5.2024 00:00:00;"Potwierdzona"
78;60;18;26.5.2024 00:00:00;31.5.2024 00:00:00;"Anulowana"
79;90;25;27.5.2024 00:00:00;1.6.2024 00:00:00;"Potwierdzona"
80;116;32;28.5.2024 00:00:00;3.6.2024 00:00:00;"Oczekuj¹ca"
81;13;39;29.5.2024 00:00:00;2.6.2024 00:00:00;"Potwierdzona"
82;43;6;30.5.2024 00:00:00;4.6.2024 00:00:00;"Anulowana"
83;73;13;31.5.2024 00:00:00;5.6.2024 00:00:00;"Potwierdzona"
84;136;20;1.6.2024 00:00:00;6.6.2024 00:00:00;"Oczekuj¹ca"
85;36;27;2.6.2024 00:00:00;7.6.2024 00:00:00;"Potwierdzona"
86;66;34;3.6.2024 00:00:00;8.6.2024 00:00:00;"Anulowana"
87;96;40;4.6.2024 00:00:00;9.6.2024 00:00:00;"Potwierdzona"
88;133;8;5.6.2024 00:00:00;10.6.2024 00:00:00;"Oczekuj¹ca"
89;4;15;6.6.2024 00:00:00;11.6.2024 00:00:00;"Potwierdzona"
90;19;22;7.6.2024 00:00:00;12.6.2024 00:00:00;"Anulowana"
91;49;29;8.6.2024 00:00:00;13.6.2024 00:00:00;"Potwierdzona"
92;79;36;9.6.2024 00:00:00;14.6.2024 00:00:00;"Oczekuj¹ca"
93;108;3;10.6.2024 00:00:00;15.6.2024 00:00:00;"Potwierdzona"
94;145;10;11.6.2024 00:00:00;16.6.2024 00:00:00;"Anulowana"
95;137;17;12.6.2024 00:00:00;17.6.2024 00:00:00;"Potwierdzona"
96;25;24;13.6.2024 00:00:00;18.6.2024 00:00:00;"Oczekuj¹ca"
97;55;31;14.6.2024 00:00:00;19.6.2024 00:00:00;"Potwierdzona"
98;85;38;15.6.2024 00:00:00;20.6.2024 00:00:00;"Anulowana"
99;125;40;16.6.2024 00:00:00;21.6.2024 00:00:00;"Potwierdzona"
100;9;2;17.6.2024 00:00:00;22.6.2024 00:00:00;"Oczekuj¹ca"
101;118;1;10.3.2024 00:00:00;15.3.2024 00:00:00;"Potwierdzona"
102;31;5;1.4.2024 00:00:00;5.4.2024 00:00:00;"Oczekuj¹ca"
103;61;12;20.3.2024 00:00:00;25.3.2024 00:00:00;"Anulowana"
104;91;8;15.4.2024 00:00:00;20.4.2024 00:00:00;"Potwierdzona"
105;140;20;1.5.2024 00:00:00;5.5.2024 00:00:00;"Potwierdzona"
106;14;3;28.3.2024 00:00:00;2.4.2024 00:00:00;"Oczekuj¹ca"
107;44;10;10.4.2024 00:00:00;15.4.2024 00:00:00;"Potwierdzona"
108;74;25;25.4.2024 00:00:00;30.4.2024 00:00:00;"Oczekuj¹ca"
109;110;17;10.5.2024 00:00:00;15.5.2024 00:00:00;"Anulowana"
110;141;30;20.5.2024 00:00:00;25.5.2024 00:00:00;"Potwierdzona"
111;37;2;1.6.2024 00:00:00;5.6.2024 00:00:00;"Oczekuj¹ca"
112;67;35;10.6.2024 00:00:00;15.6.2024 00:00:00;"Potwierdzona"
113;97;18;20.6.2024 00:00:00;25.6.2024 00:00:00;"Anulowana"
114;138;7;1.7.2024 00:00:00;5.7.2024 00:00:00;"Potwierdzona"
115;5;14;10.7.2024 00:00:00;15.7.2024 00:00:00;"Oczekuj¹ca"
116;20;22;20.7.2024 00:00:00;25.7.2024 00:00:00;"Anulowana"
117;50;4;1.8.2024 00:00:00;5.8.2024 00:00:00;"Potwierdzona"
