Id_Seans	Id_F	Id_K		
1	1	1		
2	1	4		
3	2	18		
4	1	21		
5	3	27		
6	4	30		
7	5	33		
8	3	5		
9	4	20		
10	5	82		
11	5	84		
12	7	28		
13	9	29		
14	8	32		
15	8	6		
16	10	89		
17	10	83		
18	12	7		
19	11	41		
20	11	45		
21	13	8		
22	14	5		
23	16	8		
24	16	87		
25	18	94		
26	17	90		
27	19	40		
28	20	9		
29	20	5		
30	21	7		
31	21	42		
32	22	34		
33	24	26		
34	24	21		
35	30	85		
36	23	92		
37	25	44		
38	28	95		
39	28	97		
40	27	3		
41	28	22		
42	26	3		
43	29	96		
44	30	24		
45	30	23		
46	30	23		
47	22	93		
48	27	98		
49	10	85		
50	9	13		
51	9	15		
52	9	16		
53	12	48		
54	12	10		
55	14	38		
56	14	94		
57	14	38		
58	16	23		
59	17	14		
60	16	42		
61	18	48		
62	20	34		
63	20	23		
64	21	83		
65	22	95		
66	22	86		
67	28	30		
68	28	50		
69	22	29		
70	29	97		
71	29	92		
72	29	26		
73	12	27		
74	12	30		
75	13	89		
76	12	100		
77	11	32		
78	17	14		
79	19	9		
80	20	31		
81	12	53		
82	5	53		
83	12	56		
84	3	60		
85	19	75		
86	23	18		
87	11	28		
88	7	55		
89	28	6		
90	5	37		
91	20	73		
92	7	54		
93	3	58		
94	4	67		
95	11	29		
96	20	16		
97	23	13		
98	10	12		
99	30	50		
100	30	52		
101	26	46		
102	30	50		
103	10	28		
104	21	74		
105	1	2		
106	30	19		
107	10	28		
108	20	81		
109	12	52		
110	9	27		
111	5	3		
112	30	35		
113	18	14		
114	26	66		
115	12	72		
116	12	57		
117	4	67		
118	22	47		
119	12	11		
120	18	14		
121	22	44		
122	30	8		
123	27	33		
124	5	53		
125	23	12		
126	28	39		
127	20	73		
128	24	18		
129	21	21		
130	20	16		
131	24	18		
132	12	36		
133	25	63		
134	7	54		
135	12	57		
136	13	7		
137	25	64		
138	25	17		
139	30	49		
140	10	11		
141	24	1		
142	22	25		
143	28	43		
144	3	57		
145	25	65		
146	9	28		
147	11	7		
148	8	26		
149	8	27		
150	7	55
